"Date Made Public","Company","Location","Type of breach","Type of organization","Records Breached","Total Records","Description of incident","Information Source","Source URL"
"January 29, 2013","North Los Angeles County Regional Center (NLACRC)","Van Nuys, California","PORT","MED","Unknown","Unknown","The November 13, 2012 theft of a laptop resulted in the exposure of consumer information.  Names, addresses, phone numbers, dates of birth, residential information, and medical information may have been exposed.","California Attorney General",""
"January 28, 2013","Cbr Systems","San Bruno, California","PORT","MED","300,000","300,000","The 2010 theft of a company laptop, a hard drive, and a number of unencrypted backup tapes resulted in the exposure of sensitive information.  Social security numbers, credit and debit card numbers, driver's license numbers, and dates of birth were contained on one or more of the devices.Cbr Systems reached a settlement with the Federal Trade Commission in early 2013.  Cbr Systems must establish an information security program and be independently audited every other year for 20 years.  The full settlement can be found here: http://ftc.gov/opa/2013/01/cbr.shtm","Media",""
"February 1, 2013","Tallahassee Memorial HealthCare","Tallahassee, Florida","INSD","MED","124","124","A former Tallahassee Memorial HealthCare food service employee was indicted on 31 counts of filing false tax returns, wire fraud, false claims, and aggravated identity theft.  He and two others are believed to have participated in a conspiracy that led to $818,000 in fraudulent claims.  The employee worked for Tallahassee Memorial HealthCare for three years.  He gathered patient names and dates of birth from food tray receipts when he delivered food to the rooms of patients in August of 2011 and stole emergency room data sheets from the trash. The information was then passed to the two others who participated in the conspiracy.","PHIPrivacy.net",""
"January 8, 2013","Texas Department of Health and Human Services","Austin, Texas","INSD","MED","Unknown","Unknown","A dishonest employee was arrested on suspicion of misusing client information to apply for credit cards.  The dishonest employee was able to pose as different clients seeking immunizations and other services.  She was charged with fraudulent use or possession of identifying information and credit card abuse.  UPDATE (01/31/2013): The employee was working for the Northeast Texas Public Health district when she was arrested for stealing the identities of patients at a clinic in Mount Pleasant.  She began working in the Texas Department of State Health Services clinic in 2008.","PHIPrivacy.net",""
"February 2, 2013","River Falls Medical Clinic","River Falls, Wisconsin","PHYS","MED","2,400 (unknown number of SSNs)","Unknown","River Falls Medical Clinic officials reported a burglary during the summer of 2012.  The equipment and paper documents that were stolen were recovered by police on November 28.  An employee of a cleaning service that subcontracted with the Clinic is the main suspect.  The items were found in the employee's home and he was charged with felonies associated with theft and drug possession.  It is believed that the documents were intended to be shredded.  They contained patient names, dates of birth, patient account and billing account information, diagnosis codes, insurance information, account numbers, medical chart numbers, and scheduling information.  An unspecified number of patients also had their Social Security numbers, home addresses, and phone numbers exposed.","PHIPrivacy.net",""
"February 7, 2013","Wayne Memorial Hospital","Honesdale, Pennsylvania","PORT","MED","1,182 (No SSNs or financial information reported)","Unknown","An unencrypted disc that contained patient information was lost in transit.  The disc had names, Medicare account numbers, and outstanding account balances from patients who visited the Honesdale hospital between 2007 and 2012.  A legal envelope that contained the disc was mailed on November 28 and arrived at Novitas Solutions in Pittsburgh in a cardboard box without the disc. ","PHIPrivacy.net",""
"January 12, 2013","Florida Department of Juvenile Justice","Tallahassee, Florida","STAT","MED","100,000 (No SSNs or financial information reported)","Unknown","On September 6, 2012 it was reported that three computers that contained information from the Florida Department of Juvenile Justice were stolen from an apartment site earlier in the week.  A television was also taken at the time of the theft.UPDATE (01/12/2013): At least one of the devices was neither encrypted nor password protected and held the personal information of over 100,000 youth and employees.","Databreaches.net",""
"February 17, 2013","Sierra View District Hospital","Porterville, California","HACK","MED","Unknown","Unknown","The Information Technology Department at Sierra View District Hospital detected unusual activity on its computer network.  Patient information may have been affected and the investigation is ongoing.","PHIPrivacy.net",""
"February 17, 2013","Heyman HospiceCare, Floyd Medical Center","Rome, Georgia","PORT","MED","Unknown","Unknown","The theft of a password-protected laptop from an employee's car may have resulted in the exposure of patient information.  The theft occurred on January 4, 2013 and was reported immediately.  Patients who were treated between July 1, 2006 and January 3, 2013 may have had their names, Social Security numbers, addresses, phone numbers, dates of birth, insurance policy numbers, diagnoses, visit notes, physician names, caregiver names, and advance directives exposed.","PHIPrivacy.net",""
"February 14, 2013","Froedtert Health","Milwaukee, Wisconsin","HACK","MED","43,000 (less than 3% contained SSNs)","800","A computer virus was discovered on an employee's work computer account on December 14, 2012.  One of the files on the employee's computer contained patient names, addresses, telephone numbers, dates of birth, medical record numbers, names of health insurers, diagnoses, and other clinical information.  A limited number of Social Security numbers were also exposed.","PHIPrivacy.net",""
"February 13, 2013","Sinai Medical Center of Jersey City LLC","Jersey City, New Jersey","INSD","MED","Unknown","Unknown","A pediatrician misused patient information in order to defraud Medicaid of nearly one million dollars.  The pediatrician owned Sinai Medical Center and billed Medicaid for wound repairs and other procedures that were never performed.  Police arrested the dishonest pediatrician on January 16, 2013.  ","PHIPrivacy.net",""
"February 12, 2013","Palm Beach County Health Department","Palm Beach, Florida","INSD","MED","2,800","2,800","A senior desk clerk was arrested for obtaining and releasing patient information for identity theft purposes.  The dishonest employee took home client lists with names, Social Security numbers, and dates of birth.  Patients born between 1991 and 1996 may have had their personal information misused.","PHIPrivacy.net",""
"February 11, 2013","Lee Miller Rehab Associates","Baltimore, Maryland","STAT","MED","10,480 (No SSNs or financial information reported)","Unknown","A network server was stolen or discovered stolen on January 15, 2012.  The incident appeared on the HHS website in February of 2013.","HHS via PHIPrivacy.net",""
"February 11, 2013","American HomePatient Inc., LifeGas","Brentwood, Tennessee","PORT","MED","1,103 (No SSNs or financial information reported)","Unknown","A laptop was stolen or discovered stolen on October 11, 2012.  The incident appeared on the HHS website in February of 2013.","HHS via PHIPrivacy.net",""
"February 11, 2013","Riderwood Village","Baltimore, Maryland","PORT","MED","3,230 (No SSNs or financial information reported)","Unknown","Five laptops were stolen during the weekend of November 17, 2012.  They did not contain Social Security numbers and did contain unspecified personal information of patients.  A notice about the incident was sent on January 18, 2013 and the breach appeared on the HHS website in February of 2013.","HHS via PHIPrivacy.net",""
"February 20, 2013","Mid-Florida Urological Associates","Orlando, Florida","INSD","MED","Unknown","Unknown","A dishonest employee misused patient information in order to claim them as her children and receive insurance compensation.  The dishonest employee was charged with insurance fraud and ID theft.UPDATE (02/22/2013): Orlando Health patient records were accessed.  The Orlando Health hospitals include MD Anderson Cancer Center Orlando, Orlando Regional Medical Center, Winnie Palmer Hospital for Women and Babies, Dr. P. Phillips Hospital, Arnold Palmer Hospital for Children, South Seminole Hospital, South Lake Hospital, and Health Center Hospital.","PHIPrivacy.net",""
"January 18, 2013","Stanford School of Medicine, Lucile Packard Children's Hospital","Palo Alto, California","PORT","MED","Unknown","Unknown","The January 9 theft of a laptop from a physician's car may have exposed sensitive information.  The laptop may have contained some combination of patient names, dates of birth, and contact information.UPDATE (01/22/2013): A total of 57,000 patients are being notified. Medical information and medical record numbers were exposed.  A limited number of patients had their contact information exposed.  Most of the information on the laptop was from 2009.","California Attorney General",""
"February 26, 2013","First Choice Home Health Care Services Inc., Reliance Home Care, LLC","Detroit, Michigan","INSD","MED","Unknown","Unknown","A group of co-conspirators used Medicaid information from Medicare beneficiaries in and near Detroit to defraud Medicaid and file for $24.7 million in fraudulent claims.  The fraud took place between 2008 and May of 2012.  Hundreds of patients had their information misused so that co-conspirators could bill Medicare for psychotherapy, home health services, and other medical services.","PHIPrivacy.net",""
"March 8, 2013","University of Connecticut Health Center","Farmington, Connecticut","INSD","MED","1,400 (Unknown number of Social Security numbers)","Unknown","An employee accessed patient records for reasons unrelated to their job function.  The Heath Center became aware of an unauthorized access in January of 2013.  Patient names, addresses, dates of birth, and in some cases health information and Social Security numbers may have been exposed.","Media",""
"January 16, 2013","Utah Department of Health, Goold Health Systems","Salt Lake City, Utah","PORT","MED","6,000 (No SSNs or financial information reported)","Unknown","An employee of Goold Health Systems lost an unencrypted USB memory stick that contained the information of around 6,000 Medicaid recipients in Utah.  Goold Health Systems is a contractor for the Utah Department of Health.  Medicaid recipient names, Medicaid identification numbers, ages, and recent prescription drug use were on the memory stick.  The memory stick was lost during travel between Salt Lake City, Denver, and Washington.  The loss was confirmed on Tuesday, January 15.  ","Media",""
"March 16, 2013","Lawrence Melrose Medical Electronic Record, Inc.","Melrose, Massachusetts","INSD","MED","Unknown","Unknown","An employee of Lawrence Melrose accessed patient information for reasons unrelated to their work.  It is unclear what type of patient information was exposed and how many patients were affected.  ","PHIPrivacy.net",""
"March 26, 2013","Texas Tech University Health Sciences Center (TTUHSC)","Lubbock, Texas","DISC","MED","700","700","An administrative error caused the billing statements of around 700 patients to be sent to the mailing addresses of other patients.  Patient names, account numbers, invoice numbers, charge amounts, dates of service, department and provider names, adjustment amounts, payments from insurance companies, amounts due, and total account balances may have been exposed.","PHIPrivacy.net",""
"February 22, 2013","Crescent Health Inc., Walgreens","Anaheim, California","STAT","MED","100,000","100,000","Desktop computer hardware was stolen from the Anaheim Billing Center of Crescent Healthcare, Inc. on December 28, 2012.  The theft was discovered on Monday, December 31 and reported to law enforcement.  Names, Social Security numbers, health insurance identification numbers, health insurance information, dates of birth, diagnoses, other medical information, disability codes, addresses, and phone numbers may have been exposed.UPDATE (04/03/2013): Over 100,000 people were affected.","California Attorney General",""
"April 3, 2013","United HomeCare Services, Inc., United Home Care Services of Southwest Florida, LLC","Fort Myers, Florida","PORT","MED","13,617","13,617","The January 8 theft of a billing manager's laptop resulted in the exposure of patient information.  It was stolen from the manager's car.  It contained client names, Social Security numbers, health plan numbers, dates of birth, and addresses dating as far back as 2002.  Some patients may have also had treatment service codes or diagnostic codes on the laptop.","HHS via PHIPrivacy.net",""
"March 1, 2013","Samaritan Hospital, Rensselaer County Jail","Troy, New York","INSD","MED","Unknown","Unknown","A nursing supervisor of Rensselaer County Jail was found to have misused credentials to access patient records without cause.  The Rensselaer County Jail information is maintained by Samaritan Hospital.  The hospital learned of the breach in November 2011, disabled the employee's account, and notified the sheriff's office immediately.  Subsequently, the Hospital may have delayed notifying patients because of the ongoing investigation.  Notifications were sent out during the first week of March in 2013.UPDATE (04/01/2013): A total of 48 people have been notified.  Patients from as far back as 2006 may have been affected.","PHIPrivacy.net",""
"March 4, 2013","Family Intervention Services","Hiram, Georgia","PHYS","MED","Unknown","Unknown","A caller contacted a local news team member and an investigation of mishandled medical documents began.  The documents were in an unlocked dumpster and contained Social Security numbers, bank account information, addresses, dates of birth, and health information.  The documents were associated with Family Intervention Services and an unnamed orthopedic office.","PHIPrivacy.net",""
"April 1, 2013","Granger Medical Clinic","West Valley City, Utah","PHYS","MED","2,600 (No SSNs or financial information reported)","Unknown","A total of 2,600 medical appointment records disappeared before they could be shredded.  The records contained patient names, dates of appointments, times of appointments, and reason for appointment.  No medical claim information, financial information, or Social Security numbers were exposed.","Media",""
"March 7, 2013","Uniontown Hospital","Uniontown, Pennsylvania","HACK","MED","Unknown","Unknown","A hacker or hackers accessed patient information and posted it online.  The breach was discovered by a data privacy expert. Uniontown indirectly notified the public of the breach and breach containment after the privacy expert attempted to reach Uniontown Hospital for several days.  Names, encrypted passwords, contact names, email addresses, and usernames may have been exposed.  It is unclear how long the information was available.","PHIPrivacy.net",""
"April 16, 2013","Schneck Medical Center","Seymour, Indiana","DISC","MED","3,000 (no SSNs or financial information reported)","Unknown","A Schneck Medical Center employee gave a presentation that was later placed online.  People who searched through the files from the presentation could find the names of 3,000 Schneck Medical Center patients.  The presentation was removed from online and Google removed all cached information from the Internet.","PHIPrivacy.net",""
"April 17, 2013","Erlanger Health System, Erlanger Hospital","Chattanooga, Tennessee","PHYS","MED","87&nbsp;","87","Erlanger Health System sent notes to 87 families and apologized for an incident that left the patient records of children exposed.  The records contained names, Social Security numbers, phone numbers, and dianosis information.  Erlanger has not been made aware of the records being used in an unauthorized manner.","PHIPrivacy.net",""
"April 9, 2013","Hospice Palliative Care of Alamance-Caswell, LifePath Home Health","Burlington, North Carolina","PORT","MED","5,300 (Unknown number of Social Security numbers)","Unknown","The February 24 burglary of three laptops resulted in the exposure of patient information.  The laptops were stolen from the hospital in addition to needles, syringes, and miscellaneous items.  The unencrypted laptops contained emails that had sensitive patient information.","Media",""
"April 9, 2013","Connextions, Anthem Blue Cross Blue Shield of Indiana, Anthem Blue Cross Blue Shield of Ohio, Empire Blue Cross Blue Shield of Indiana","Orlando, Florida","INSD","MED","6,000","6,000","A Connextions employee used Social Security numbers from a number of other organizations for criminal activity.  At least four members of Anthem Blue Cross and Blue Shield were affected by the criminal activity.  The breach was reported on HHS as affecting 4,814 patients, but more were affected.","HHS via PHIPrivacy.net",""
"April 17, 2013","Arizona Counseling and Treatment Services (ACTS), Cenpatico Behavioral Health of Arizona","Yuma, Arizona","PORT","MED","3,000 (No SSNs reported)","Unknown","The home theft of any employee's laptop and external drive resulted in the exposure of patient information.  The theft occurred sometime between March 18 and March 25; other items were stolen besides the laptop and hard drive.  Neither the laptop nor the hard drive were encrypted. Patients who visited either Cenpatico or its contractor ATS between 2011 and 2013 may have had their names, dates of birth, and treatment plans exposed.UPDATE (04/17/2013): More than 3,000 patients were affected by the breach.","Media",""
"April 23, 2013","Portal Healthcare Solutions, Glens Falls Hospital","Glens Falls, New York","DISC","MED","2,300 (No SSNs reported)","Unknown","Two patients ran a google search of their names and were able to find their medical information online.  Doctors' reports with medications, medical treatments, lab information, future and past treatment plans, physical examination information, and lifestyle information could be downloaded by anyone who found the information online.  The documents were from November 2012 through January 2013 and discovered online in mid-March.  Portal Healthcare secured the sensitive information on its servers on March 14.  A lawsuit was filed against Glens Falls Hospital, Portal Healthcare Solutions LLC, and Carpathia Hosting in mid-April for patient privacy violations.","PHIPrivacy.net",""
"April 28, 2013","Orthopedic Physician Associates, Proliance Surgeons","Seattle, Washington","PORT","MED","Unknown","Unknown","An employee's car was the target of an April 1 break-in.  A company laptop and 10 patient files were taken during the car theft.  The paper files were recovered, but the laptop also contained patient information.  Names, Social Security numbers, addresses, telephone numbers, health insurance information, names of providers, and the reasons for patients' appointments may have been included in emails stored on the laptop.","PHIPrivacy.net",""
"April 26, 2013","Upstate University Hospital","Syracuse, New York","PORT","MED","283 (No SSNs or financial information reported)","Unknown","A portable electronic device was stolen from Upstate University Hospital on March 30 or 31.  It contained the names, hospital medical record numbers, dates of birth, and diagnosis information of patients.","PHIPrivacy.net",""
"April 29, 2013","Hope Hospice","New Braunfels, Texas","DISC","MED","818 (No SSNs reported)","Unknown","An employee used an unsecured email to send sensitive patient information.  Two separate administrative violations occurred on December 27, 2012 and on February 22, 2013. The issue was discovered on February 25.  The information was secured on February 28, 2013.  Patient names, referral sources, Hospice admission and discharge dates, the names of insurance providers, and chart numbers may have been exposed. ","PHIPrivacy.net",""
"May 3, 2013","University of Rochester Medical Center","Rochester, New York","PORT","MED","537 (No SSNs or financial information exposed)","Unknown","The loss of an unencrypted flash drive exposed sensitive patient information.  The flash drive contained name, date of birth, weight, gender, telephone number, URMC internal medical record number, orthopaedic physician name, date of service, diagnosis, diagnostic study, procedure, and complications.  The flash drive is believed to have been destroyed after ending up in the medical center laundry. It was not found.","PHIPrivacy.net",""
"April 25, 2013","Child and Family Services of New Hampshire","Manchester, New Hampshire","PHYS","MED","23 (No SSNs or financial information exposed)","Unknown","Someone took 23 files from a secure area in the Child and Family Services of New Hampshire main office sometime between March 15 and March 18.  The breach was discovered on March 19.  The files contained client names, dates of birth, addresses, Medicaid numbers, notes from home visits, and other health information related to home visits.","PHIPrivacy.net",""
"May 7, 2013","Raleigh Orthopaedic Clinic","Raleigh, North Carolina","PHYS","MED","17,300&nbsp;","Unknown","Raleigh Orthopaedic Clinic contracted with a vendor in order to have information from X-ray films transferred into electronic format.  The X-ray film was actually sold by the unnamed vendor and melted harvest for silver by a recycling company in Ohio. Patient names and dates of birth were on the film.  The Clinic does not believe that personally identifiable information was on the film.","Media",""
"May 9, 2013","Lutheran Social Services of South Central Pennsylvania","York, Pennsylvania","HACK","MED","7,300","7,300","Lutheran Social Services became aware of a malware program that was on its software system.  Resident names, Social Security numbers, dates of birth, Medicare numbers, medical diagnosis codes, payer names, and health insurance numbers may have been exposed.  The breach was discovered in March and Lutheran Social Services had not involved investigators or police as of May 9.","Media",""
"May 10, 2013","Indiana University Health Arnett","Lafayette, Indiana","PORT","MED","10,300 (No SSNs reported)","Unknown","The theft of an employee's unencrypted laptop resulted in the exposure of patient information.  The laptop was stolen from an employee's car on April 9 and contained email records.  Patient names, medical record numbers, dates of birth, physician names, diagnoses, and dates of service may have been exposed. ","Media",""
"May 11, 2013","Regional Medical Center","Memphis, Tennessee","DISC","MED","1,200&nbsp;","1,200","Some patients who were treated at an outpatient facility between May 1 of 2012 and January 31 of 2013 had their information attached to emails that went out to an unspecified organization or organizations.  Three emails that were not secure were sent on October 29 and November 1 of 2012 and February 4, 2013.  Patient names, Social Security numbers, account numbers, dates of birth, home phone numbers, and reasons for outpatient physical therapy services may have been exposed.","PHIPrivacy.net",""
"April 1, 2013","Oregon Health and Science University","Portland, Oregon","PORT","MED","4,022 (Nine Social Security Numbers reported)","9","The theft of a surgeon's unencrypted laptop resulted in the exposure of patient information.UPDATE (07/6/2016): ""The Department of Health and Human Services hit the University of Mississippi Medical Center (UMMC) with a $2.75 million fine over a health data breach, its second major privacy action in a week.The HHS Office for Civil Rights (OCR) is penalizing UMMC for a series of alleged privacy and security violations of the Health Insurance Portability and Accountability Act, also known as HIPAA. The settlement relates to a password-protected laptop that went missing from the hospital’s intensive care unit in March 2013. After an investigation, the medical center determined the computer was likely stolen by a visitor who had asked to borrow it.""UPDATE (04/25/2013): The laptop was stolen from a surgeon's Hawaii rental home and was used for research purposes.  Any laptops used for patient care are required to be encrypted while laptops used for research are not required to be encrypted.  The laptop was used to access emails related to patient care such as patient names, medical record numbers, types of surgery and dates of surgery, times and locations of surgery, gender, age, and name of surgeon and anesthesiologist information. Nine patients had their Social Security numbers exposed.","Media",""
"March 28, 2013","MedStar Good Samaritan Nursing Center, Mid America Health, Inc. (MAH)","Baltimore, Maryland","PHYS","MED","18 (Three Social Security Numbers reported)","3","A paper file was stolen from the car of a dental assistant who was treating residents at the MedStar Good Samaritan Nursing Center.  The file contained names, dates of birth, medical and dental evaluation information, medical and dental providers' names and license numbers, and the Social Security numbers of three residents.","PHIPrivacy.net",""
"March 28, 2013","Mid America Health","Greenwood, Indiana","PORT","MED","Unknown","Unknown","The theft of a laptop resulted in the exposure of patient information.  Names, Social Security numbers, dates of birth, residential facility names, and digital oral x-ray images may have been exposed.  Specific details of the case are being withheld until the breach investigation has concluded.  The location of the breach is listed as the corporate headquarters of MAH.  Those with questions or concerns may contact the MAH Compliance Department at 1-855-224-0004.","PHIPrivacy.net",""
"May 10, 2013","PHH Corporation","Suwanee, Georgia","INSD","MED","6,700&nbsp;","6,700","A former employee was indicted on charges related to misuse of applicant and employee personal information.  Employee names, Social Security numbers, dates of birth, telephone numbers, email addresses, addresses, I-9 alien registration numbers, and other personal information may have been exposed.  The issue was discovered on April 3.  ","California Attorney General",""
"May 15, 2013","OptiNose US Inc.","Yardley, Pennsylvania","PORT","MED","Unknown","Unknown","An unencrypted laptop was stolen from an employee's car.  It may have contained names, Social Security numbers, and personal information related to people who worked at OptiNose.","Media",""
"May 16, 2013","DENT Neurologic Institute of Amherst","Amherst, New York","DISC","MED","10,200 (No SSNs or financial information exposed)","Unknown","An administrative error led to the personal information of 10,200 patients being emailed to 200 patients.  Names, addresses, date of last appointment, visit type, primary care physician, referring physician, email addresses, and whether or not the patient was actively receiving treatment were in an Excel attachment of an email that was sent to unspecified parties. The recipients were called and instructed to delete the email.","Media",""
"April 26, 2013","Life Flight (IHC Health Services Inc.)","Aurora, Oregon","DISC","MED","842 (107)","107","An administrative error caused the information of patients flown by Life Flight helicopters to be available online.  Patients flown during April, May, and June of 2004 may have had unspecified information exposed.  It was confirmed that 107 patients had their Social Security numbers exposed.  It is unclear how long the information was available and if patients flown during additional months may have been affected.  The information was moved to a secure server to address the breach.UPDATE (05/17/2013): The sensitive information was available online as early as October 12, 2009.","PHIPrivacy.net",""
"May 17, 2013","Delta Dental of Pennsylvania, ZDI","Mechanicsburg, Pennsylvania","PHYS","MED","14,829 (No SSNs or financial information reported)","Unknown","The March 20 loss of paper records may have exposed the information of patients. ZDI lost the records of their associate Delta Dental of Pennsylvania.","HHS via PHIPrivacy.net",""
"May 17, 2013","Public Health - Seattle and King County","Seattle, Washington","PHYS","MED","750 (No SSNs or financial information reported)","Unknown","A custodian improperly disposed of client medical information on March 7.  The records were from the Refugee Screening, WIC, and Needle Exchange programs.  Patient names, dates of birth, phone numbers, addresses, medical record numbers, appointment dates, and medical condition or treatment may have been accessed.","HHS via PHIPrivacy.net",""
"May 17, 2013","Valley Mental Health","Murray, Utah","STAT","MED","700 (No SSNs or financial information)","Unknown","The February 27 theft of a computer resulted in the exposure of patient information.","HHS via PHIPrivacy.net",""
"May 17, 2013","Wood County Hospital","Bowling Green, Ohio","PHYS","MED","2,500 (No SSNs or financial information reported)","Unknown","The March theft of radiology films resulted in the exposure of patient information.  The films were most likely stolen from the Hospital's storage room in order to be stripped of their silver.  The films contained patient names, medical record numbers, dates of exams, and in some cases, dates of birth.  The thieves posed as recycling subcontractors.  ","HHS via PHIPrivacy.net",""
"May 17, 2013","The Guidance Center of Westchester, Inc.","New Rochelle, New York","STAT","MED","1,416","1,416","On February 22, 2013, the Guidance Center of Westchester discovered that a central processing unit (CPU) had been removed form a staff member's office.  The CPU was removed on February 21 and contained, names, Social Security numbers, dates of birth, dates of admittance to the Center, names of insurance carriers, home addresses, diagnoses, outpatient treatment authorization request, doctors' names, case numbers, and whether or not a patient was prescribed medication.","HHS via PHIPrivacy.net",""
"May 17, 2013","Stronghold Counseling Services, Inc.","Sioux Falls, South Dakota","STAT","MED","8,500 (No SSNs or financial information reported)","Unknown","The December 24, 2012 theft of a computer resulted in the exposure of patient information.","HHS via PHIPrivacy.net",""
"May 17, 2013","Community Health Network, Community Health Medcheck","Speedway, Indiana","INSD","MED","180","180","A dishonest employee of Community Health Medcheck accessed the medical records of up to 180 people between mid-March and mid-April.  Social Security numbers, dates of birth, credit card numbers, and other information may have been exposed.","PHIPrivacy.net",""
"May 29, 2013","University of Florida","Gainesville, Florida","INSD","MED","5,682","5,682","A dishonest employee working at University of Florida Health Pediatrics at Tower Square is suspected of participating in an identity theft ring.  The former employee had access to pediatric patient records that included names, Social Security numbers, addresses, and dates of birth. The University of Florida learned about the issue on April 11.","Media",""
"May 31, 2013","Bon Secours Hampton Roads Health System, Bon Secours Mary Immaculate Hospital","Newport News, Virginia","INSD","MED","5,000","5,000","An April 2013 audit revealed that a patient's medical record had been accessed in a way that was inconsistent with hospital policy.  A further investigation revealed that two team members of the patient care team had accessed the records of multiple patients in ways that were inconsistent with their job function.  The employees were fired.   Patient names, dates and times of service, provider and facility names, Social Security numbers, internal hospital medical records and account numbers, dates of birth, diagnosis, medications, vital signs, and other treatment information may have been accessed.","PHIPrivacy.net",""
"June 3, 2013","Health Information Trust Alliance","Frisko, Texas","HACK","MED","111 (No SSNs or financial information reported)","Unknown","A hacking incident resulted in the exposure of 111 records.  Names, phone numbers, addresses, email addresses, and company names were exposed.","Media",""
"June 3, 2013","Office of Dr. Lee D. Pollan, DMD, PC.","Rochester, New York","PORT","MED","13,806","13,806","The theft of the doctor's laptop may have exposed patient information.  The theft occurred sometime between November 6, 2012 and November 15, 2012.  Information related to patient names, dates of birth, addresses, Social Security numbers, diagnose and surgery billing codes, dates of service, and person responsible for the billing was on the laptop.  ","PHIPrivacy.net",""
